id,nombre,edad
988,Duff,dupfoldrf
989,Patrizia,plautierg
990,Eugine,emorecombrh
991,Olimpia,ostruttri
992,Burnard,bmainstonerj
993,Hew,hvizorrk
994,Darla,drummerrl
995,Jed,jsjostromrm
996,Candra,cemmetrn
997,Shir,svautreyro
998,Manya,mannesleyrp
999,Devland,dlackingtonrq
1000,Grady,guglowrr
